Time Sent,Campaign Name,Sends,Opens,Open Rate,Mobile Open Rate,Desktop Open Rate,Clicks,Click Rate,Bounces,Bounce Rate,Unsubscribes,Unsubscribe Rate
2024/04/22 5:25 PM,04.22.24,7574,3527,48.3%,3.4%,96.6%,85,2.4%,277,3.7%,7,0.1%
2024/04/21 12:00 PM,Work Schedule for May 2024,43,37,86.0%,35.1%,64.9%,30,81.1%,0,0.0%,0,0.0%
2024/04/19 4:30 PM,May 2024 Swine and Dine!!!,171,124,74.3%,6.1%,93.9%,12,9.7%,4,2.3%,0,0.0%
2024/04/17 5:01 PM,April 18 - April 24 Who's on Deck,115,72,64.9%,7.5%,92.5%,0,0.0%,4,3.5%,0,0.0%
2024/04/15 5:45 PM,04.15.24,7581,3319,45.4%,3.5%,96.5%,77,2.3%,272,3.6%,9,0.1%
2024/04/10 5:01 PM,April 11 - April 17 Who's on Deck,115,73,65.8%,8.0%,92.0%,8,11.0%,4,3.5%,0,0.0%
2024/04/08 5:25 PM,04.04.24,7576,3478,47.6%,3.5%,96.5%,108,3.1%,272,3.6%,8,0.1%
2024/04/03 5:00 PM,April 4 - April 10 Who's on Deck,115,79,71.8%,14.1%,85.9%,21,26.6%,5,4.3%,0,0.0%
2024/04/01 5:03 PM,04.01.24,7578,3804,52.0%,3.2%,96.8%,105,2.8%,268,3.5%,9,0.1%
2024/04/01 4:30 PM,Reminder: April 2024 Swine and Dine is back!!!,169,118,72.0%,5.7%,94.3%,9,7.6%,5,3.0%,0,0.0%
2024/03/27 5:01 PM,March 28 - April 3 Who's on Deck,115,80,72.1%,8.3%,91.7%,0,0.0%,4,3.5%,0,0.0%
2024/03/25 5:25 PM,03.25.24,7583,3455,47.2%,3.5%,96.5%,100,2.9%,264,3.5%,9,0.1%
2024/03/21 5:00 PM,Work Schedule for April 2024,43,38,90.5%,28.2%,71.8%,30,78.9%,1,2.3%,0,0.0%
2024/03/20 5:01 PM,March 21 - March 27 Who's on Deck,115,75,67.6%,7.2%,92.8%,0,0.0%,4,3.5%,0,0.0%
2024/03/20 4:45 PM,April 2024 Swine and Dine is back!!!,169,116,70.3%,5.6%,94.4%,13,11.2%,4,2.4%,0,0.0%
2024/03/18 5:25 PM,03.18.24,7590,3530,48.2%,3.5%,96.5%,102,2.9%,266,3.5%,7,0.1%
2024/03/17 1:00 PM,work requests due,43,34,81.0%,2.9%,97.1%,0,0.0%,1,2.3%,0,0.0%
2024/03/13 5:01 PM,March 14 - March 20 Who's on Deck,115,78,70.3%,4.2%,95.8%,0,0.0%,4,3.5%,0,0.0%
2024/03/11 5:45 PM,03.11.24,7599,3652,49.8%,4.5%,95.5%,139,3.8%,263,3.5%,5,0.1%
2024/03/08 4:03 PM,New Staff RSVP Training Information,17,16,100.0%,4.8%,95.2%,8,50.0%,1,5.9%,0,0.0%
2024/03/08 2:45 PM,2024 March Wine Club Q1 pick up,1146,873,80.3%,12.9%,87.1%,223,25.5%,59,5.1%,1,0.1%
2024/03/06 5:28 PM,March 7 - March 13 Who's on Deck #2,48,37,78.7%,8.3%,91.7%,0,0.0%,1,2.1%,0,0.0%
2024/03/04 5:50 PM,03.04.24,7606,3600,49.1%,3.8%,96.2%,138,3.8%,271,3.6%,10,0.1%
2024/03/04 5:00 PM,Orderport Beware of Discounts,43,35,81.4%,5.6%,94.4%,0,0.0%,0,0.0%,0,0.0%
2024/02/29 11:14 AM,02.26.24,7615,4189,57.0%,3.8%,96.2%,145,3.5%,265,3.5%,11,0.1%
2024/02/28 5:01 PM,February 29- March 6 Who's on Deck,115,76,68.5%,6.5%,93.5%,0,0.0%,4,3.5%,0,0.0%
2024/02/22 11:31 AM,Work Schedule for March 2024 updated,46,41,89.1%,32.7%,67.3%,29,70.7%,0,0.0%,0,0.0%
2024/02/21 5:01 PM,February 22- February 29 Who's on Deck,115,71,64.0%,7.4%,92.6%,3,4.2%,4,3.5%,0,0.0%
2024/02/21 2:03 PM,Work Schedule for March 2024,46,35,76.1%,31.5%,68.5%,28,80.0%,0,0.0%,0,0.0%
2024/02/19 5:05 PM,02.19.24,7641,4111,55.7%,2.9%,97.1%,70,1.7%,262,3.4%,25,0.3%
2024/02/16 5:20 PM,2024 B/O Barrel Tasting Invite,168,131,79.9%,17.6%,82.4%,56,42.7%,4,2.4%,0,0.0%
2024/02/14 5:00 PM,February 15- February 21 Who's on Deck,115,72,64.9%,6.3%,93.7%,0,0.0%,4,3.5%,0,0.0%
2024/02/13 3:30 PM,March 2024 Preview of Work Schedule,46,35,76.1%,5.8%,94.2%,0,0.0%,0,0.0%,0,0.0%
2024/02/12 4:50 PM,02.12.24,7298,4102,58.0%,3.0%,97.0%,72,1.8%,226,3.1%,13,0.2%
2024/02/10 6:39 PM,February 8- February 14 Who's on Deck,115,73,66.4%,3.8%,96.2%,1,1.4%,5,4.3%,0,0.0%
2024/02/07 3:15 PM,Prepaid membership expired in December 2023,53,43,84.3%,7.9%,92.1%,14,32.6%,2,3.8%,0,0.0%
2024/02/05 5:32 PM,02.05.24,7307,3498,49.4%,2.4%,97.6%,38,1.1%,223,3.1%,8,0.1%
2024/01/31 5:01 PM,February 1- February 7 Who's on Deck,114,74,67.3%,5.7%,94.3%,5,6.8%,4,3.5%,0,0.0%
2024/01/29 5:05 PM,01.29.24,7325,3564,50.2%,2.6%,97.4%,31,0.9%,224,3.1%,14,0.2%
2024/01/24 5:00 PM,January 125- January 31 Who's on Deck,114,77,69.4%,4.3%,95.7%,0,0.0%,3,2.6%,0,0.0%
2024/01/22 5:20 PM,01.22.24,7329,3477,48.9%,2.9%,97.1%,59,1.7%,225,3.1%,4,0.1%
2024/01/21 12:00 PM,Work Schedule for February 2024,45,40,88.9%,25.9%,74.1%,35,87.5%,0,0.0%,0,0.0%
2024/01/19 11:42 AM,01.18.24,7331,3388,47.7%,2.9%,97.1%,70,2.1%,227,3.1%,5,0.1%
2024/01/17 5:01 PM,January 18 - January 24 Who's on Deck,114,76,68.5%,5.0%,95.0%,0,0.0%,3,2.6%,0,0.0%
2024/01/15 4:20 PM,01.15.24,7341,3411,47.9%,3.0%,97.0%,47,1.4%,218,3.0%,10,0.1%
2024/01/10 5:00 PM,January 11 - January 17 Who's on Deck,114,75,67.6%,6.7%,93.3%,1,1.3%,3,2.6%,0,0.0%
2024/01/08 5:15 PM,01.08.24,7358,3428,48.0%,2.3%,97.7%,39,1.1%,214,2.9%,15,0.2%
2024/01/04 5:20 PM,01.04.24,7363,3433,48.0%,3.1%,96.9%,76,2.2%,211,2.9%,5,0.1%
2024/01/03 5:00 PM,January 4 - January 10 Who's on Deck,115,75,67.0%,3.3%,96.7%,0,0.0%,3,2.6%,0,0.0%
